#id  @ time(ms)          message
27  468   Rime started with address 0.0.0.0.0.0.0.27
45  470   new udp socket is registered
32  473   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
45  474   I am in the receiving list
50  475   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
38  476   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
50  478   HRPL: RPL started
27  482   MAC 00:00:00:00:00:00:00:1b Contiki-3.x-3343-gbc2e44581 started. Node id is set to 27.
32  482   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
32  485   HRPL: RPL started
50  486   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
38  486   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0026
38  489   Starting 'app-p2p-node'
27  491   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
32  493   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
38  493   new udp socket is registered
50  496   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0032
38  498   I am node 38 in the sending list
50  500   Starting 'app-p2p-node'
27  503   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
50  504   new udp socket is registered
32  504   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0020
32  507   Starting 'app-p2p-node'
50  508   I am in the receiving list
24  511   Rime started with address 0.0.0.0.0.0.0.24
32  511   new udp socket is registered
27  513   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
32  516   I am node 32 in the sending list
27  516   HRPL: RPL started
27  524   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
24  525   MAC 00:00:00:00:00:00:00:18 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 24.
30  529   Rime started with address 0.0.0.0.0.0.0.30
24  533   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
27  534   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:001b
27  538   Starting 'app-p2p-node'
16  539   Rime started with address 0.0.0.0.0.0.0.16
27  542   new udp socket is registered
30  543   MAC 00:00:00:00:00:00:00:1e Contiki-3.x-3343-gbc2e44581 started. Node id is set to 30.
24  546   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
27  547   I am node 27 in the sending list
30  552   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
16  553   MAC 00:00:00:00:00:00:00:10 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 16.
24  556   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
24  559   HRPL: RPL started
16  562   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
30  565   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
24  567   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
16  574   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
30  574   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
30  577   HRPL: RPL started
24  577   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0018
24  581   Starting 'app-p2p-node'
16  584   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
24  585   new udp socket is registered
30  585   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
16  587   HRPL: RPL started
24  589   I am in the receiving list
25  589   Rime started with address 0.0.0.0.0.0.0.25
42  592   Rime started with address 0.0.0.0.0.0.0.42
16  595   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
30  596   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:001e
34  596   Rime started with address 0.0.0.0.0.0.0.34
30  599   Starting 'app-p2p-node'
30  603   new udp socket is registered
25  603   MAC 00:00:00:00:00:00:00:19 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 25.
16  605   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0010
42  606   MAC 00:00:00:00:00:00:00:2a Contiki-3.x-3343-gbc2e44581 started. Node id is set to 42.
30  607   I am in the receiving list
16  609   Starting 'app-p2p-node'
34  610   MAC 00:00:00:00:00:00:00:22 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 34.
25  612   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
16  613   new udp socket is registered
42  615   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
16  618   I am node 16 in the sending list
9  618   Rime started with address 0.0.0.0.0.0.0.9
34  619   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
25  625   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
19  627   Rime started with address 0.0.0.0.0.0.0.19
42  627   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
34  631   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
9  632   MAC 00:00:00:00:00:00:00:09 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 9.
25  634   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
42  637   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
25  637   HRPL: RPL started
42  640   HRPL: RPL started
9  640   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
19  641   MAC 00:00:00:00:00:00:00:13 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 19.
34  641   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
34  644   HRPL: RPL started
25  645   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
42  648   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
19  649   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
34  652   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
9  653   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
25  656   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0019
12  658   Rime started with address 0.0.0.0.0.0.0.12
42  658   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:002a
25  659   Starting 'app-p2p-node'
42  662   Starting 'app-p2p-node'
19  662   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
34  662   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0022
9  663   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
25  663   new udp socket is registered
9  666   HRPL: RPL started
34  666   Starting 'app-p2p-node'
42  666   new udp socket is registered
25  667   I am in the receiving list
34  670   new udp socket is registered
42  671   I am node 42 in the sending list
19  672   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
12  672   MAC 00:00:00:00:00:00:00:0c Contiki-3.x-3343-gbc2e44581 started. Node id is set to 12.
34  674   I am in the receiving list
9  674   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
19  675   HRPL: RPL started
29  679   Rime started with address 0.0.0.0.0.0.0.29
12  681   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
19  683   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
9  684   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0009
5  685   Rime started with address 0.0.0.0.0.0.0.5
9  687   Starting 'app-p2p-node'
2  688   Rime started with address 0.0.0.0.0.0.0.2
9  692   new udp socket is registered
29  693   MAC 00:00:00:00:00:00:00:1d Contiki-3.x-3343-gbc2e44581 started. Node id is set to 29.
19  693   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0013
12  693   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
9  695   I am in the receiving list
19  696   Starting 'app-p2p-node'
5  699   MAC 00:00:00:00:00:00:00:05 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 5.
19  701   new udp socket is registered
29  702   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
2  702   MAC 00:00:00:00:00:00:00:02 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 2.
12  703   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
21  704   Rime started with address 0.0.0.0.0.0.0.21
19  705   I am in the receiving list
12  706   HRPL: RPL started
5  708   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
2  711   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
12  714   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
29  714   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
21  718   MAC 00:00:00:00:00:00:00:15 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 21.
5  720   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
26  721   Rime started with address 0.0.0.0.0.0.0.26
2  723   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
29  724   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
12  725   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:000c
21  726   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
29  727   HRPL: RPL started
12  728   Starting 'app-p2p-node'
5  730   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
10  732   Rime started with address 0.0.0.0.0.0.0.10
12  732   new udp socket is registered
5  733   HRPL: RPL started
2  733   0 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
26  734   MAC 00:00:00:00:00:00:00:1a Contiki-3.x-3343-gbc2e44581 started. Node id is set to 26.
29  735   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
2  736   HRPL: RPL started
12  737   I am node 12 in the sending list
21  739   HRPL: Init of IPv6 data structures, 30 neighbors 0 MAX_ROUTES 2 default routers 3 prefixes
23  740   Rime started with address 0.0.0.0.0.0.0.23
5  741   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
26  743   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
2  744   HRPL: The Mode of operation is Non-Storing Mode With_HRPL
29  745   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:001d
10  746   MAC 00:00:00:00:00:00:00:0a Contiki-3.x-3343-gbc2e44581 started. Node id is set to 10.
29  749   Starting 'app-p2p-node'
