#id  @ time(ms)          message
35  335   RPL: The Mode of operation is Storng Mode
29  337   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
10  344   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:000a
35  345   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0023
10  347   Starting 'app-p2p-node'
29  347   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
35  349   Starting 'app-p2p-node'
29  350   RPL: RPL started
10  351   new udp socket is registered
35  353   new udp socket is registered
10  355   I am in the receiving list
29  356   RPL: The Mode of operation is Storng Mode
35  356   I am in the receiving list
16  366   Rime started with address 0.0.0.0.0.0.0.16
29  366   Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:001d
19  366   Rime started with address 0.0.0.0.0.0.0.19
15  369   Rime started with address 0.0.0.0.0.0.0.15
29  369   Starting 'app-p2p-node'
29  374   new udp socket is registered
14  374   Rime started with address 0.0.0.0.0.0.0.14
13  377   Rime started with address 0.0.0.0.0.0.0.13
29  377   I am in the receiving list
24  379   Rime started with address 0.0.0.0.0.0.0.24
16  380   MAC 00:00:00:00:00:00:00:10 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 16.
19  380   MAC 00:00:00:00:00:00:00:13 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 19.
15  383   MAC 00:00:00:00:00:00:00:0f Contiki-3.x-3343-gbc2e44581 started. Node id is set to 15.
14  388   MAC 00:00:00:00:00:00:00:0e Contiki-3.x-3343-gbc2e44581 started. Node id is set to 14.
16  388   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
19  389   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
13  391   MAC 00:00:00:00:00:00:00:0d Contiki-3.x-3343-gbc2e44581 started. Node id is set to 13.
15  391   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
24  393   MAC 00:00:00:00:00:00:00:18 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 24.
14  397   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
13  400   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
50  400   Rime started with address 0.0.0.0.0.0.0.50
16  401   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
19  402   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
24  402   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
15  404   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
14  410   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
16  411   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
19  412   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
13  412   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
50  414   MAC 00:00:00:00:00:00:00:32 Contiki-3.x-3343-gbc2e44581 started. Node id is set to 50.
16  414   RPL: RPL started
15  414   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
19  414   RPL: RPL started
24  415   HRPL: Init of IPv6 data structures, 30 neighbors 20 MAX_ROUTES 2 default routers 3 prefixes
15  417   RPL: RPL started
14  420   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
16  420   RPL: The Mode of operation is Storng Mode
47  420   Rime started with address 0.0.0.0.0.0.0.47
19  420   RPL: The Mode of operation is Storng Mode
50  422   CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
13  422   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
14  422   RPL: RPL started
15  423   RPL: The Mode of operation is Storng Mode
24  425   20 routes 3 unicast addresses 5 multicast addresses 2 anycast addresses
13  425   RPL: RPL started
24  427   RPL: RPL started
14  428   RPL: The Mode of operation is Storng Mode
